original,xopa_name,encoding
number_of_elements,data_001,identity
mean_atomic_mass,data_002,identity
wtd_mean_atomic_mass,data_003,identity
gmean_atomic_mass,data_004,identity
wtd_gmean_atomic_mass,data_005,identity
entropy_atomic_mass,data_006,identity
wtd_entropy_atomic_mass,data_007,identity
range_atomic_mass,data_008,identity
wtd_range_atomic_mass,data_009,identity
std_atomic_mass,data_010,identity
wtd_std_atomic_mass,data_011,identity
mean_fie,data_012,identity
wtd_mean_fie,data_013,identity
gmean_fie,data_014,identity
wtd_gmean_fie,data_015,identity
entropy_fie,data_016,identity
wtd_entropy_fie,data_017,identity
range_fie,data_018,identity
wtd_range_fie,data_019,identity
std_fie,data_020,identity
wtd_std_fie,data_021,identity
mean_atomic_radius,data_022,identity
wtd_mean_atomic_radius,data_023,identity
gmean_atomic_radius,data_024,identity
wtd_gmean_atomic_radius,data_025,identity
entropy_atomic_radius,data_026,identity
wtd_entropy_atomic_radius,data_027,identity
range_atomic_radius,data_028,identity
wtd_range_atomic_radius,data_029,identity
std_atomic_radius,data_030,identity
wtd_std_atomic_radius,data_031,identity
mean_Density,data_032,identity
wtd_mean_Density,data_033,identity
gmean_Density,data_034,identity
wtd_gmean_Density,data_035,identity
entropy_Density,data_036,identity
wtd_entropy_Density,data_037,identity
range_Density,data_038,identity
wtd_range_Density,data_039,identity
std_Density,data_040,identity
wtd_std_Density,data_041,identity
mean_ElectronAffinity,data_042,identity
wtd_mean_ElectronAffinity,data_043,identity
gmean_ElectronAffinity,data_044,identity
wtd_gmean_ElectronAffinity,data_045,identity
entropy_ElectronAffinity,data_046,identity
wtd_entropy_ElectronAffinity,data_047,identity
range_ElectronAffinity,data_048,identity
wtd_range_ElectronAffinity,data_049,identity
std_ElectronAffinity,data_050,identity
wtd_std_ElectronAffinity,data_051,identity
mean_FusionHeat,data_052,identity
wtd_mean_FusionHeat,data_053,identity
gmean_FusionHeat,data_054,identity
wtd_gmean_FusionHeat,data_055,identity
entropy_FusionHeat,data_056,identity
wtd_entropy_FusionHeat,data_057,identity
range_FusionHeat,data_058,identity
wtd_range_FusionHeat,data_059,identity
std_FusionHeat,data_060,identity
wtd_std_FusionHeat,data_061,identity
mean_ThermalConductivity,data_062,identity
wtd_mean_ThermalConductivity,data_063,identity
gmean_ThermalConductivity,data_064,identity
wtd_gmean_ThermalConductivity,data_065,identity
entropy_ThermalConductivity,data_066,identity
wtd_entropy_ThermalConductivity,data_067,identity
range_ThermalConductivity,data_068,identity
wtd_range_ThermalConductivity,data_069,identity
std_ThermalConductivity,data_070,identity
wtd_std_ThermalConductivity,data_071,identity
mean_Valence,data_072,identity
wtd_mean_Valence,data_073,identity
gmean_Valence,data_074,identity
wtd_gmean_Valence,data_075,identity
entropy_Valence,data_076,identity
wtd_entropy_Valence,data_077,identity
range_Valence,data_078,identity
wtd_range_Valence,data_079,identity
std_Valence,data_080,identity
wtd_std_Valence,data_081,identity
